ParticipantID,UnityFrame,FrameTimeStamp,CurrentScene,Emo_Valence_Score,Emo_Valence_CI_Upper,Emo_Valence_CI_Lower,Emo_Arousal_Score,Emo_Arousal_CI_Upper,Emo_Arousal_CI_Lower,Emo_Fear_Score,Emo_Fear_CI_Upper,Emo_Fear_CI_Lower,Emo_Stress_Score,Emo_Stress_CI_Upper,Emo_Stress_CI_Lower,Emo_Happy_Score,Emo_Happy_CI_Upper,Emo_Happy_CI_Lower,Emo_Sad_Score,Emo_Sad_CI_Upper,Emo_Sad_CI_Lower,Emo_Bored_Score,Emo_Bored_CI_Upper,Emo_Bored_CI_Lower,Emo_Excited_Score,Emo_Excited_CI_Upper,Emo_Excited_CI_Lower,Emo_Content_Score,Emo_Content_CI_Upper,Emo_Content_CI_Lower,Emo_Calm_Score,Emo_Calm_CI_Upper,Emo_Calm_CI_Lower,Emo_Valence_Score,Emo_Valence_CI_Upper,Emo_Valence_CI_Lower,Emo_Arousal_Score,Emo_Arousal_CI_Upper,Emo_Arousal_CI_Lower,Emo_Fear_Score,Emo_Fear_CI_Upper,Emo_Fear_CI_Lower,Emo_Stress_Score,Emo_Stress_CI_Upper,Emo_Stress_CI_Lower,Emo_Happy_Score,Emo_Happy_CI_Upper,Emo_Happy_CI_Lower,Emo_Sad_Score,Emo_Sad_CI_Upper,Emo_Sad_CI_Lower,Emo_Bored_Score,Emo_Bored_CI_Upper,Emo_Bored_CI_Lower,Emo_Excited_Score,Emo_Excited_CI_Upper,Emo_Excited_CI_Lower,Emo_Content_Score,Emo_Content_CI_Upper,Emo_Content_CI_Lower,Emo_Calm_Score,Emo_Calm_CI_Upper,Emo_Calm_CI_Lower,Vive_Eye_Left_Blink,Vive_Eye_Left_Wide,Vive_Eye_Right_Blink,Vive_Eye_Right_Wide,Vive_Eye_Left_Squeeze,Vive_Eye_Right_Squeeze,Vive_Eye_Left_Down,Vive_Eye_Right_Down,Vive_Eye_Left_Out,Vive_Eye_Right_In,Vive_Eye_Left_In,Vive_Eye_Right_Out,Vive_Eye_Left_Up,Vive_Eye_Right_Up,Vive_Face_Jaw_Right,Vive_Face_Jaw_Left,Vive_Face_Jaw_Forward,Vive_Face_Jaw_Open,Vive_Face_Mouth_Ape_Shape,Vive_Face_Mouth_Upper_Right,Vive_Face_Mouth_Upper_Left,Vive_Face_Lower_Right,Vive_Face_Lower_Left,Vive_Face_Mouth_Upper_Overturn,Vive_Face_Mouth_Lower_Overturn,Vive_Face_Mouth_Pout,Vive_Face_Mouth_Smile_Right,Vive_Face_Mouth_Smile_Left,Vive_Face_Mouth_Sad_Right,Vive_Face_Mouth_Sad_Left,Vive_Face_Mouth_Puff_Right,Vive_Face_Mouth_Puff_left,Vive_Face_Mouth_Suck,Vive_Face_Mouth_Upper_UpRight,Vive_Face_Mouth_Upper_UpLeft,Vive_Face_Mouth_Lower_DownRight,Vive_Face_Mouth_Lower_DownLeft,Vive_Face_Mouth_Upper_Inside,Vive_Face_Mouth_Lower_Inside,Vive_Face_Tongue_Out_1,Vive_Face_Tongue_Left,Vive_Face_Tongue_Right,Vive_Face_Tongue_Up,Vive_Face_Tongue_Down,Vive_Face_Tongue_Roll,Vive_Face_Tongue_Out_2,Vive_Face_Tongue_Up_Right,Vive_Face_Tongue_Up_Left,Vive_Face_Tongue_Down_Right,Vive_Face_Tongue_Down_Left,EyeGaze_Local_Pos.x,EyeGaze_Local_Pos.y,EyeGaze_Local_Pos.z,EyeGaze_Local_Direction.x,EyeGaze_Local_Direction.y,EyeGaze_Local_Direction.z,LeftEyeGaze_Local_Pos.x,LeftEyeGaze_Local_Pos.y,LeftEyeGaze_Local_Pos.z,LeftEyeGaze_Local_Direction.x,LeftEyeGaze_Local_Direction.y,LeftEyeGaze_Local_Direction.z,RightEyeGaze_Local_Pos.x,RightEyeGaze_Local_Pos.y,RightEyeGaze_Local_Pos.z,RightEyeGaze_Local_Direction.x,RightEyeGaze_Local_Direction.y,RightEyeGaze_Local_Direction.z,EyeGaze_World_Pos.x,EyeGaze_World_Pos.y,EyeGaze_World_Pos.z,EyeGaze_World_Direction.x,EyeGaze_World_Direction.y,EyeGaze_World_Direction.z,LeftEyeGaze_World_Pos.x,LeftEyeGaze_World_Pos.y,LeftEyeGaze_World_Pos.z,LeftEyeGaze_World_Direction.x,LeftEyeGaze_World_Direction.y,LeftEyeGaze_World_Direction.z,RightEyeGaze_World_Pos.x,RightEyeGaze_World_Pos.y,RightEyeGaze_World_Pos.z,RightEyeGaze_World_Direction.x,RightEyeGaze_World_Direction.y,RightEyeGaze_World_Direction.z,PupilDilation_Left,PupilDilation_Right,EyeClosed_Left,EyeClosed_Right,CurrentBlink_Duration,CurrentBlink_Interval,GazeValid,Foveal_GrayScaleValue,Parafoveal_GrayScaleValue,Headpoint_GrayScaleValue,Image_GrayScaleValue,HMD_pX,HMD_pY,HMD_pZ,HMD_rX,HMD_rY,HMD_rZ,HMD_arX,HMD_arY,HMD_arZ,HMD_aqX,HMD_aqY,HMD_aqZ,HMD_aqW,
9999,391,2026-02-16 12:16:39Z,,6.90022,7.216871,6.58357,0.665298,0,1.631709,0,0,0,0,0,0,5.459973,4.338437,6.581519,0.592854,0.702737,0.482971,7.380678,6.231901,8.529455,0.6206402,0,2.14304,7.148123,6.077857,8.218391,9.758785,10,9.390462,6.90022,7.216871,6.58357,0.665298,0,1.631709,0,0,0,0,0,0,5.459973,4.338437,6.581519,0.592854,0.702737,0.482971,7.380678,6.231901,8.529455,0.6206402,0,2.14304,7.148123,6.077857,8.218391,9.758785,10,9.390462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,392,2026-02-16 12:16:39Z,,6.900297,7.216885,6.583709,0.6651683,0,1.631637,0,0,0,0,0,0,5.460071,4.33847,6.581683,0.592854,0.702737,0.482971,7.380723,6.231878,8.529568,0.6205571,0,2.142957,7.14826,6.07793,8.21859,9.759057,10,9.390803,6.900297,7.216885,6.583709,0.6651683,0,1.631637,0,0,0,0,0,0,5.460071,4.33847,6.581683,0.592854,0.702737,0.482971,7.380723,6.231878,8.529568,0.6205571,0,2.142957,7.14826,6.07793,8.21859,9.759057,10,9.390803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,393,2026-02-16 12:16:39Z,,6.900373,7.216899,6.583847,0.6650392,0,1.631566,0,0,0,0,0,0,5.460169,4.338502,6.581846,0.592854,0.702737,0.482971,7.380767,6.231855,8.529679,0.6204744,0,2.142875,7.148396,6.078003,8.218788,9.759328,10,9.391144,6.900373,7.216899,6.583847,0.6650392,0,1.631566,0,0,0,0,0,0,5.460169,4.338502,6.581846,0.592854,0.702737,0.482971,7.380767,6.231855,8.529679,0.6204744,0,2.142875,7.148396,6.078003,8.218788,9.759328,10,9.391144,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,394,2026-02-16 12:16:39Z,,6.900448,7.216913,6.583984,0.6649108,0,1.631495,0,0,0,0,0,0,5.460266,4.338534,6.582008,0.592854,0.702737,0.482971,7.380811,6.231832,8.529791,0.6203921,0,2.142792,7.14853,6.078077,8.218985,9.759598,10,9.391481,6.900448,7.216913,6.583984,0.6649108,0,1.631495,0,0,0,0,0,0,5.460266,4.338534,6.582008,0.592854,0.702737,0.482971,7.380811,6.231832,8.529791,0.6203921,0,2.142792,7.14853,6.078077,8.218985,9.759598,10,9.391481,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,395,2026-02-16 12:16:39Z,,6.900524,7.216926,6.584121,0.664783,0,1.631425,0,0,0,0,0,0,5.460363,4.338566,6.58217,0.592854,0.702737,0.482971,7.380856,6.23181,8.529902,0.6203103,0,2.142711,7.148664,6.078149,8.219181,9.759866,10,9.391818,6.900524,7.216926,6.584121,0.664783,0,1.631425,0,0,0,0,0,0,5.460363,4.338566,6.58217,0.592854,0.702737,0.482971,7.380856,6.23181,8.529902,0.6203103,0,2.142711,7.148664,6.078149,8.219181,9.759866,10,9.391818,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,396,2026-02-16 12:16:39Z,,6.900599,7.21694,6.584257,0.6646559,0,1.631354,0,0,0,0,0,0,5.460459,4.338598,6.58233,0.592854,0.702737,0.482971,7.380899,6.231787,8.530012,0.6202289,0,2.142629,7.148798,6.078222,8.219376,9.760133,10,9.392153,6.900599,7.21694,6.584257,0.6646559,0,1.631354,0,0,0,0,0,0,5.460459,4.338598,6.58233,0.592854,0.702737,0.482971,7.380899,6.231787,8.530012,0.6202289,0,2.142629,7.148798,6.078222,8.219376,9.760133,10,9.392153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,397,2026-02-16 12:16:39Z,,6.900673,7.216953,6.584393,0.6645294,0,1.631285,0,0,0,0,0,0,5.460555,4.33863,6.58249,0.592854,0.702737,0.482971,7.380943,6.231764,8.530122,0.6201479,0,2.142548,7.148931,6.078294,8.219569,9.760398,10,9.392487,6.900673,7.216953,6.584393,0.6645294,0,1.631285,0,0,0,0,0,0,5.460555,4.33863,6.58249,0.592854,0.702737,0.482971,7.380943,6.231764,8.530122,0.6201479,0,2.142548,7.148931,6.078294,8.219569,9.760398,10,9.392487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,398,2026-02-16 12:16:39Z,,6.900747,7.216967,6.584527,0.6644036,0,1.631215,0,0,0,0,0,0,5.46065,4.338661,6.582649,0.592854,0.702737,0.482971,7.380986,6.231742,8.530231,0.6200674,0,2.142468,7.149063,6.078365,8.219762,9.760662,10,9.392817,6.900747,7.216967,6.584527,0.6644036,0,1.631215,0,0,0,0,0,0,5.46065,4.338661,6.582649,0.592854,0.702737,0.482971,7.380986,6.231742,8.530231,0.6200674,0,2.142468,7.149063,6.078365,8.219762,9.760662,10,9.392817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,399,2026-02-16 12:16:39Z,,6.900821,7.21698,6.584661,0.6642784,0,1.631146,0,0,0,0,0,0,5.460744,4.338693,6.582807,0.592854,0.702737,0.482971,7.38103,6.23172,8.530339,0.6199872,0,2.142388,7.149195,6.078436,8.219954,9.760925,10,9.393147,6.900821,7.21698,6.584661,0.6642784,0,1.631146,0,0,0,0,0,0,5.460744,4.338693,6.582807,0.592854,0.702737,0.482971,7.38103,6.23172,8.530339,0.6199872,0,2.142388,7.149195,6.078436,8.219954,9.760925,10,9.393147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9999,400,2026-02-16 12:16:40Z,,6.900894,7.216993,6.584795,0.6641538,0,1.631078,0,0,0,0,0,0,5.460839,4.338724,6.582964,0.592854,0.702737,0.482971,7.381073,6.231698,8.530448,0.6199074,0,2.142308,7.149326,6.078507,8.220145,9.761187,10,9.393476,6.900894,7.216993,6.584795,0.6641538,0,1.631078,0,0,0,0,0,0,5.460839,4.338724,6.582964,0.592854,0.702737,0.482971,7.381073,6.231698,8.530448,0.6199074,0,2.142308,7.149326,6.078507,8.220145,9.761187,10,9.393476,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,False,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
